yyyymm,600381.SH,600446.SH,600155.SH,600228.SH,600330.SH,600192.SH,600566.SH,600200.SH,600539.SH,600398.SH
201610,0.066313,0.04661449,0.09933333,-0.0753701,0,0.00636943,0.09568418,-0.0132837,0.09652997,0.02423113
201611,0.40298507,-0.0175553,0.02183141,0.05021834,-0.1213209,0.01265823,-0.0949618,0.00538503,-0.0086306,0.00454959
201612,-0.0886525,-0.1684315,-0.1115727,0.36174636,-0.1462418,-0.028125,0.05465587,0.03427959,-0.012188,-0.0226449
201701,0.03891051,-0.0760048,-0.0941884,-0.2183206,0.01626794,0.01393355,-0.0483045,-0.104609,-0.0035253,-0.0185357
201702,0.10299625,0.02497847,0.02654867,0.04036458,0.02165725,0.05179704,0.01915966,-0.0028918,0.12676887,-0.0160529
201703,-0.114884,-0.1155462,-0.0732759,-0.063204,-0.0589862,-0.0371859,0.11114776,-0.0980278,-0.0512821,0.00479846
201704,-0.0863171,0.1391924,0.22713178,0,-0.1116552,-0.1377871,0.01810626,0.00514469,0.07225593,-0.0315186
201705,-0.1735479,-0.2998332,-0.0126342,-0.2317969,-0.1157663,-0.0859564,0.02915452,-0.1778631,-0.1033951,-0.0650888
201706,0.06519898,0.04705182,-0.0543826,-0.0469565,0.09476309,0.02384106,0.07733711,0.02723735,-0.0045898,0.00105485
201707,0.06200318,-0.1149033,-0.1021651,-0.0684307,0.14464692,0,-0.0993952,0.06136364,0.00172911,-0.0052687
201708,-0.0501497,0.16645244,0.13790505,0,-0.0278607,0.02846054,0.02423358,-0.0428266,0.01150748,0.00741525
201709,0.01024429,0.09476584,-0.0788079,0.26150833,0.10644831,0.07924528,0.05074116,0.03355705,0.00796359,0.05783386
201710,-0.0382215,-0.1394061,-0.1035226,0.22204969,-0.1026827,-0.1107226,0.10689094,-0.0555556,-0.013544,-0.0328032
201711,-0.1484185,-0.0994152,-0.1106656,-0.1944091,0.1556701,-0.102228,-0.0997549,-0.0886173,-0.0263158,-0.0883864
201712,0.01047619,-0.0168831,-0.0775473,-0.1064669,-0.014273,-0.049635,0.0386605,-0.0318525,-0.012926,0.09357384
201801,0.09236569,0.03104359,0.07917889,0.0070609,-0.2271493,-0.0983103,0.08650066,-0.025974,0,0.17938144
201802,-0.1440897,-0.0570147,-0.1141304,0.07361963,0.01873536,-0.0851789,0.03546441,-0.0968889,0,0.07867133
201803,0.10685484,0.11480978,-0.0235174,-0.1102041,0.01494253,0.12104283,0.07129543,0.01771654,0,-0.0688817
201804,-0.0910747,-0.0024375,-0.0575916,-0.0009174,0.06342016,-0.1229236,0.09308395,0.01353965,-0.585119,0.03481288
201805,0.06813627,-0.1411118,-0.1355556,-0.2130395,-0.0021299,-0.0189394,0.05710306,-0.0667939,0.12195122,0.22287637
201806,-0.2223265,-0.2169275,-0.0758355,-0.0046674,-0.2689434,-0.1003861,-0.0929795,-0.2290389,-0.1508951,-0.1237964
201807,-0.0205066,-0.061762,0,0.05041032,0.00145985,0.07296137,-0.0130733,0.0265252,-0.0768072,-0.088697
201808,-0.1169951,-0.0929332,-0.0904033,-0.1462054,-0.0860058,-0.074,-0.1410849,-0.124031,-0.0130506,-0.1421189
201809,-0.0153417,0.0298826,0.06727829,-0.0784314,0.00956938,0.01295896,-0.0357405,-0.0309735,0.04297521,0.03313253
201810,-0.1572238,-0.0590674,0.09312321,-0.0695035,-0.1248025,-0.0810235,0.02691038,-0.152207,-0.0316957,-0.2478134
