"","V1","V2","V3","V4"
"X600617.SH",0.188391013021443,0.385950414941281,2.06463581764075,0.810532274983186
"X600201.SH",1.86950533593569,-1.89787761557495,2.09327194341119,0.806420432725151
"X600281.SH",1.13194265681343,1.4395319023764,-0.287315306607306,0.798442041456101
"X600590.SH",1.64062210991608,1.17082444264145,-0.747988067420718,0.783099756532652
"X600080.SH",1.08238132834462,-0.248474661528355,1.40314964127747,0.779355025262581
"X600312.SH",1.28998841055004,0.445217236746217,0.285825473576413,0.735308177316806
"X600624.SH",1.2770221819676,-0.270604251703684,1.00416654761562,0.73087756156062
"X600608.SH",1.09083863346958,0.636870789649066,0.286059708359521,0.71321460279041
"X600531.SH",1.08463411600229,0.909266323482607,-0.00655567734719737,0.704666840241539
"X600359.SH",1.95871572717956,0.14496696046903,-0.482506311125171,0.682224485674982
"X600265.SH",1.45003627407691,0.00180302033106389,0.306718928554199,0.672571094296344
"X600103.SH",0.762412403175188,1.6874449505957,-0.473991908837436,0.669000873797555
"X600513.SH",2.1828085593018,-1.05208885300686,0.370642483530509,0.668689512877817
"X600010.SH",0.170940792702048,1.5122121810259,0.475628664712987,0.664728570802486
"X600306.SH",1.95722456668799,-0.00716312126899592,-0.39043668308562,0.663609885368813
"X600536.SH",-0.495471147089811,0.855782549686771,2.00182882126378,0.659094952449242
"X600282.SH",1.52122436405939,1.25233176288821,-1.08611806650116,0.65835385453987
"X600241.SH",0.741059723928594,1.42908776124181,-0.280041933990926,0.641137637746703
"X600383.SH",0.887289917190104,0.64786235766294,0.304362636506459,0.640583465126861
"X600171.SH",0.901257200667679,-0.00359975340186489,0.908681392659094,0.63202737204424
"X600179.SH",0.588842358093962,-0.123176088613487,1.42300088062511,0.62548438084107
"X600082.SH",1.25990099576928,0.393511857005708,-0.00242993808818571,0.621284973982969
"X600422.SH",2.04116775545041,-1.9469310950111,1.28947945460865,0.619231610059425
"X600577.SH",1.36262811295919,0.352274542292996,-0.113945141932901,0.616550065291703
"X600606.SH",0.67551624054668,0.579581982500975,0.555569863742492,0.610752050091712
"X600148.SH",0.80393677385619,-0.360057807392019,1.31211445153032,0.607191702783967
"X600576.SH",0.879606987489131,0.198311193092054,0.625204777206078,0.598897586085092
"X600530.SH",1.44327791110389,-0.0510586077402144,0.118713579954598,0.597607656105872
"X600006.SH",0.368064172603894,1.69058230817282,-0.192976629993879,0.596507372495239
